Year,Herbivores,Carnivores,HerbivoreAvgFitness,CarnivoreAvgFitness,HerbivoreAvgAge,CarnivoreAvgAge,HerbivoreAvgWeight,CarnivoreAvgWeight
644,133,465,0.765380648270629,0.754906873882673,11.7443609022556,12.6430107526882,23.9879915343157,20.5136401624714
645,125,454,0.782442514850385,0.760547357768654,12.792,13.0132158590308,25.00490703779,20.3119246319714
646,122,474,0.776437996027476,0.75908745159248,12.983606557377,12.9029535864979,24.9807118507633,19.8405980409503
647,127,465,0.751587017607418,0.770691901399952,12.3385826771654,13.3032258064516,23.7161784462553,20.217855745857
648,126,473,0.761874969721273,0.774565853539727,12.2460317460317,13.5369978858351,24.0170828474017,20.579891536604
649,118,476,0.77597699963058,0.7760843815322,12.8983050847458,14.0021008403361,25.0210924101782,21.0937357803118
650,119,460,0.781288626718203,0.790222267438483,13.0504201680672,14.9413043478261,25.4108818653884,22.2645986938779
651,134,455,0.735217811540311,0.790951576138808,11.6716417910448,15.2879120879121,22.7361844047144,22.2469306486031
652,132,476,0.7551528582357,0.781316578123826,11.969696969697,14.7752100840336,23.4101287701245,21.0025278467903
653,127,484,0.766118303161089,0.781879475851598,12.0629921259843,14.9834710743802,23.8620283082229,21.2490767718678
654,125,462,0.759493899678105,0.794937144711887,12.072,15.4502164502165,23.6989720227216,21.2951460646104
655,119,455,0.782889656371915,0.792845493883058,13.0588235294118,15.4857142857143,25.0626940938747,20.4632109602484
656,115,458,0.77892410289143,0.794941002603711,12.5391304347826,15.8078602620087,24.9129437705132,21.024353946295
657,120,461,0.774338740771698,0.7928655138979,11.9583333333333,15.4229934924078,24.5738557797421,19.5477447969488
658,128,465,0.753729483950876,0.790420050356649,11.3984375,15.1118279569892,23.3808067916209,18.8338428356953
659,125,471,0.766813626557036,0.792514077315103,11.616,14.8428874734607,23.746448010793,18.2597317930691
660,121,470,0.773409889924203,0.793755139002915,11.7355371900826,15.2127659574468,24.0681238924598,18.8078110382689
661,120,467,0.77847463646694,0.795003685803199,11.675,15.1970021413276,24.4227348364942,18.3607479183555
662,119,459,0.789402586566277,0.801926367652284,11.6890756302521,15.6252723311547,25.1405196643981,18.9287761730298
663,116,478,0.799705475762687,0.79283901260397,12.1293103448276,15.5836820083682,26.0020794647861,19.3169284160786
664,128,472,0.74912009173018,0.7958160183656,11.234375,15.7563559322034,23.2838241603954,19.4219389730888
665,126,467,0.7553954857477,0.793254806457605,11.3809523809524,15.3468950749465,23.3918004339088,18.4500304734032
666,121,458,0.765690383309464,0.802167861025273,12.0082644628099,15.8056768558952,23.9787790766479,19.0393230407865
667,124,460,0.754186626715269,0.794064203929903,11.3467741935484,15.8434782608696,23.4275237127962,18.9998767685282
668,117,452,0.765764174402234,0.806465201630462,11.2051282051282,16.5022123893805,24.0790716760044,19.9891977664798
669,115,450,0.772643202299281,0.806030533491958,11.7304347826087,16.3133333333333,24.8127889770146,18.8719977891503
670,110,464,0.766111934376663,0.792912194646631,11.1,15.5581896551724,24.401237513041,17.6258727530244
671,115,433,0.757277416351452,0.809358895794151,10.4695652173913,16.6189376443418,23.6751638254892,18.4475515815833
672,120,428,0.755763014719047,0.810375123901494,10.5,16.4672897196262,23.5561132643604,18.109545066638
673,116,418,0.778490219350206,0.822298493108879,11.051724137931,16.9425837320574,24.7414282388289,19.119705234731
674,120,416,0.774549031612818,0.823795648624567,10.8166666666667,16.6610576923077,24.5274515036025,19.1070533444282
675,114,429,0.782501253824905,0.817053022515803,11.0175438596491,16.1585081585082,25.0870048340987,19.1151416826129
676,123,439,0.75917578091735,0.809200967031837,11,16.0159453302961,23.8906508094054,18.9867859484127
677,124,458,0.767969833749785,0.796178727997036,10.8387096774194,15.4366812227074,24.0083419154929,18.2611397064087
678,120,480,0.775188948914543,0.791358349326557,11.025,14.55625,24.3350238931444,17.3592129294609
679,119,487,0.790291258916941,0.789839435410935,11.5798319327731,14.3408624229979,25.256771735558,17.2671504595794
680,120,479,0.78347166517587,0.789206609099747,11.1083333333333,14.6555323590814,24.8259069053252,17.6146878737072
681,117,502,0.789174010763384,0.779463957476754,11.5213675213675,14.2948207171315,25.1674341275204,17.5358923413929
